Company Name,High,Low,Last Price,% Chg,Value (Rs. cr.)
Cipla,815.90,790.25,812.20,3.14,361.75
WABCO India,6890.00,5861.10,6640.70,3.92,355.09
PNB,36.70,35.80,36.15,0.42,343.04
Bajaj Finserv,9645.00,9440.05,9502.35,0.37,338.77
ONGC,106.30,102.60,103.50,1.07,329.58
Shriram Trans,1445.00,1411.10,1420.60,-0.60,317.48
Deepak Nitrite,1637.95,1546.10,1626.10,4.17,316.82
Jindal Steel,340.90,328.20,336.45,3.78,315.58
Motherson Sumi,207.75,200.20,202.10,1.56,307.83
Hindalco,332.90,324.95,326.30,-0.26,298.87
PVR,1310.70,1193.85,1246.85,2.22,289.68
UltraTechCement,6875.00,6746.00,6785.60,0.75,286.65
Jubilant Food,2982.45,2900.60,2955.70,2.60,285.03
MRF,83946.00,81325.05,83185.30,1.43,282.90
Sun Pharma,599.00,587.25,597.70,1.79,277.21
Bandhan Bank,352.30,335.15,336.45,-2.65,277.16
Shree Cements,29500.00,28301.80,29094.45,3.48,275.15
Bajaj Auto,3674.75,3581.35,3666.70,1.85,274.72
Coal India,134.45,130.15,132.95,2.58,273.67
Hero Motocorp,2976.35,2916.60,2963.85,0.89,266.60
NMDC,133.85,127.70,132.55,4.58,264.92
Divis Labs,3600.00,3480.05,3584.25,3.44,262.59
Eicher Motors,2653.70,2561.35,2639.95,3.10,258.81
IRCTC,1774.00,1740.40,1755.25,0.45,258.56
Nestle,17253.55,16610.00,17165.00,3.58,255.59
HDFC Life,693.30,675.00,687.75,2.39,238.50
IDFC First Bank,60.00,58.00,58.25,0.95,225.31
DLF,284.45,274.50,279.30,0.04,215.91
RBL Bank,214.40,206.95,208.05,-1.44,214.25
COFORGE LTD.,2988.00,2776.30,2960.10,5.87,209.13
Indiabulls Hsg,201.00,193.10,196.05,-0.96,208.92
INDUS TOWERS,261.80,240.30,254.60,6.11,205.40
Britannia,3625.00,3510.05,3616.00,3.18,205.19
BHEL,49.60,48.30,48.95,0.51,204.12
Adani Power,95.55,89.50,89.50,-4.99,201.39
Avenue Supermar,2918.00,2807.00,2837.55,-0.62,197.67
Interglobe Avi,1629.70,1575.20,1585.40,-1.71,194.95
Ashok Leyland,115.75,111.70,113.65,-0.35,193.04
Canara Bank,149.50,144.80,147.05,0.62,192.51
Lupin,1009.85,985.00,1005.90,2.75,188.68
IOC,91.95,90.10,91.55,0.72,188.52
Ambuja Cements,303.50,295.35,299.85,1.68,182.58
Piramal Enter,1841.80,1757.95,1764.70,-2.20,179.97
Bharat Elec,126.95,122.90,125.80,2.78,179.05
Godrej Consumer,731.30,713.55,726.50,2.29,178.92
Page Industries,31179.45,30250.00,30984.40,3.15,174.34
Biocon,409.50,399.05,408.45,3.34,171.27
Navin Fluorine,2744.00,2450.00,2718.45,11.55,165.24
Zee Entertain,204.00,197.95,200.95,0.50,164.76
M&M Financial,208.95,198.70,199.90,-3.38,162.75
Voltas,1005.00,982.10,993.25,1.41,157.23
Federal Bank,78.20,75.55,75.80,-1.24,157.13
Vodafone Idea,9.50,9.00,9.20,1.10,156.58
Dixon Technolog,3765.00,3620.00,3635.55,0.30,153.37
MphasiS,1798.75,1637.00,1778.85,8.78,150.33
L&T Infotech,4244.00,3919.00,4163.00,5.47,147.52
Aurobindo Pharm,873.05,852.30,870.40,2.39,143.32
Dabur India,541.20,532.00,538.00,1.55,142.25
Power Finance,116.40,110.20,111.10,-3.01,140.68
Havells India,1078.00,1047.55,1050.55,0.02,136.36
Adani Trans,918.00,845.35,877.55,0.80,132.88
Dhani Services,219.70,180.30,186.75,-11.64,132.20
Adani Total Gas,925.00,885.00,910.90,0.60,129.10
Oracle Fin Serv,3747.00,3105.45,3356.75,7.45,128.02
Cummins,907.90,867.75,897.90,3.28,126.93
IDBI Bank,40.10,37.30,38.70,1.44,126.74
Berger Paints,772.00,757.00,759.80,-0.01,123.51
TVS Motor,581.85,563.70,575.20,0.80,120.81
IGL,518.00,505.50,510.85,1.43,117.95
Muthoot Finance,1251.15,1198.35,1210.05,-2.08,117.80
ACC,1905.00,1858.15,1874.05,0.65,116.40
Pidilite Ind,1838.30,1810.10,1826.45,1.45,114.05
MOIL,159.40,138.00,156.10,13.03,111.75
SBI Life Insura,881.00,868.00,872.15,-0.21,111.36
Astral Poly Tec,1655.00,1545.85,1591.65,-1.26,109.90
Chola Invest.,564.30,549.40,555.30,0.12,108.66
Indiamart Inter,7909.90,7720.00,7820.80,0.31,107.86
Redington,191.45,153.65,187.20,14.11,107.35
Strides Pharma ,897.80,835.00,868.15,1.85,105.75
LIC Housing Fin,427.40,414.80,420.55,0.18,104.24
Ircon Internati,88.50,80.60,87.35,8.04,98.85
Tata Steel BSL ,51.70,50.00,51.05,4.83,98.60
Apollo Tyres,227.80,219.70,222.95,-0.85,98.53
ICICI Prudentia,440.80,430.30,431.75,0.26,96.18
Godrej Prop,1389.15,1342.55,1352.20,-1.07,94.01
Dr Lal PathLab,2689.50,2589.40,2614.80,1.69,92.96
Tata Elxsi,2714.70,2620.00,2688.60,1.45,90.80
Torrent Pharma,2555.00,2452.50,2529.30,2.83,89.27
Delta Corp,178.00,164.00,165.15,-4.51,89.15
Petronet LNG,230.90,225.75,226.95,1.29,88.86
Cadila Health,436.30,422.25,434.55,3.42,86.80
Granules India,310.55,303.10,309.10,2.64,86.39
Adani Green Ene,1230.00,1151.75,1157.65,-4.51,85.39
Intellect Desig,713.35,630.65,695.20,11.52,85.33
City Union Bank,162.00,150.00,153.90,-3.57,84.81
